Emotion,Text
sadness,Three weeks ago a friend of mine bid me good-bye before going  abroad.  I felt happy for her as she was achieving something by  making the trip     
disgust,When we complained about the uncleanliness of the work place     
shame,I got into a tight pair of trousers and examined myself in the  mirror.  My back looked unpresentable and I felt ashamed at my  wanting to wear those clothes that day.  I quickly changed into  another dress.     
guilt,When I do not put in the needed amount of hours of work or study  for the day     
joy,When I got the scholarship I was very happy as the finacial  burden of the family was reduced.     
fear,I experienced fear when I was not prepared for the final year  degree exams.     
anger,When the others did not do their bit of work on a group  assignment task     
sadness,After having been ill     
disgust,When my friend got very low marks in field work even though he  had worked throughout the year     
shame,I felt ashamed when I fought with my mother on some issue     
guilt,I had enough time to do my assignment     
joy,When I was selected at TISS X.     
fear,When I almost walked on a snake.     
anger,When I was insulted by a man.     
sadness,When my mother left for Kenya.     
disgust,[ When I see that the toilet is unclean.]     
shame,When my co-resident opened the bathroom door while I was bathing  inside.     
guilt,When I could not complete my assignment on time.     
joy,At the pre-university     
anger,When I was blamed for some of my attributes which are very often  misunderstood     
sadness,When my sister lost her only son     
disgust,When I was in a Christian institution     
guilt,Once I was not able to give a relative     
joy,The day I got a letter from the U.G.C informing me that I had  been awarded the junior research fellowship.     
fear,When I was working in Delhi     
anger,When a relative     
sadness,When I had to leave home to go to some other place to study.     
disgust,When I went to visit a relative and saw how messy and dirty his  place was     
shame,When I broke-down while seeing off my friend.     
guilt,[ The day I have not worked (academic) hard enough.]     
joy,[ When I have achieved what I wanted to achieve     
fear,Once when I was walking alone at mid-night     
anger,My friend and I were to attend a very important meeting and he  had promised to come and pick me up.  But he did not turn up and  I felt very angry at him.     
sadness,I was really hoping that I would pass the examination     
disgust,[ I feel disgusted at people who talk negatively about a person  without knowing the person well.]     
shame,[ I have felt shame but am unable to remember any particular  incident.]     
guilt,[ Whenever I do something prohibited or wrong I feel guilty.]     
joy,When I stood first in the B.A exams.  Earlier I had heard of  these boys and girls who were toppers     
fear,When my son fell off the cot at the age of 5 months     
anger,I was very angry one day when my husband ignored me and slept       on a separate bed.  He had no reasons to doubt me or to neglect  me and I had never imagined that he could do such a thing.     
sadness,When I heard the news of the death of my father.  It was in the  evening and I was alone all night in my room trying to remember  the face of my father.     
disgust,One day my colleague misbehaved with me.  I felt disgusted and  thought to myself that he could only do this because I was a  woman.     
shame,One day I addressed my husband in an abusive manner in front of  his friends.  Later on I realized this myself and felt ashamed of  myself.     
guilt,My mother misunderstood me and prevented me from doing something.   In return I did not talk to her for a few days     
joy,When the results of the part I exams came out I felt tremendous  joy in my heart.  The results came out after a long period of  worry and anxiety     
fear,I felt afraid just before receiving the question paper of the  part II exam.     
anger,I remember that when I was in school I saw a case of partiality -  one of the teachers gave private coaching classes to some girls  and she would give these girls extra attention in class and would  ignore the others.     
sadness,On the last day of my school life I was very sad     
disgust,I was most disgusted when I had to make a nagging three day  journey recently from Calcutta to Bombay.  It was very boring and  tiring.     
shame,I remember that once     
guilt,I did badly in one of the vital exams     
joy,[ I can not recall one.]     
fear,[ I do not recall one here either.]     
anger,[ This emotion has never been an intense one     
sadness,When my honest intentions were marred by another's jealousy.     
disgust,[ The previous incident holds good here also.]     
shame,[ ....has not really happened.]     
guilt,When an event took place in another's life and which I thought I  could have avoided.     
joy,The day I was happiest was the day when I received a phone call  from Eve's Weekly to inform me that I had won the first prize of  the All India Essay competition.  I had won this prize when I was  an under-graduate when even post graduates had participated.  I  had been judged by eminent judges and political scientists.     
fear,Fear is an emotion that I experience very often.  Naturally this  is during exams and subsequently while waiting for the results.   However there is one occassion when I was paralyzed with fear.   This was when I was doing my M.A.-I     
anger,I experience this emotion quite often but the day I was most  angry was the day I got pulled up for something I had not done.   It happened during my school days     
sadness,I have once been very sad and lonely.  This was when I was trying  to organize a play as a student (15 years).  Instead of  materializing     
disgust,This is an incident that many of us witness in our everyday life  in a city like Bombay.  One day I was travelling by bus     
shame,This is an event I will never forget.  I am considered a good  mimic.  This particular day we were waiting for a professor  to take her class.  This  professor had a peculiar accent and a  very horrible way of lecturing and to top it all we had this  class at the fag end of the day.  So this particular day I got  into my element and started imitating the professor     
joy,This happened when it was finally confirmed that I had stood  first in the university for the M.A exams.  A few days before the  official results were declared a clerk had brought the results  unofficially.  So I had been expecting the results but the  confirmation allowed me to legitimately feel happy at my  success.       
fear,This was when I was being followed home every day from the campus     
anger,A new gas connection was to be installed and the mechanic who came  to do it was very rude to my mother and me.  I rushed to thhe  dealer with my mother and had a fight with the dealer as he  seemed to be unreasonable and was taking the mechanic's side.   Ultimately the matter was resolved after my father went and spoke  to him.  The mechanic was asked to apologize.     
sadness,The day I was to receive my gold-medal for the M.A     
disgust,We had come back from a programme and we were all (three girls)     staying over at another girls placce.  One of them started  passing very nasty and outright bitchy remarks at me.  It was  brought on by a male colleague's compliments to me     
shame,I was learning judo and my instructor wanted me to assist him in  teaching girls judo at a suburban college.  I was just a beginer     
guilt,I was coming back home with my mother when the purse I was  carrying got stolen.  It was done so swifty that I did not  realize what had happened till much later.  A lot of money and the  keys of the house were lost.  I was guilt ridden at my  carelessness.  I felt terrible as I do not normally loose things  and this was quite important     
joy,Inter-national sports events won by my favourite national team or  player brings me joy     
fear,When I had gone to a school picnic and was left behind in the  forest.     
anger,When I saw a few people beating a man who seemed to be a  stranger.     
sadness,When India lost the Benson and Hedges cricket trophy.     
guilt,When I was responsible for getting my friend run-out in a vital  cricket match.     
joy,When India won the Prudential cup by beating West-Indies in the  final match and became the world cricket champion.  West-Indies  was the strongest of the eight countries which participated in  the competition.     
anger,Despite our good performance and excellent results the management  refused to meet our demands.     
sadness,When my beloved girlfriend got married to another person.     
disgust,When I heard that a 14 years old girl had been raped by four  rikshaw drivers in our town.     
shame,I feel ashamed at the fact that even after 35 years of independence    70% of the Indian poulation is still below the poverty line.     
guilt,I read about the national and social spirit and self-discipline  of the people of developed coutries like U.S.A     
joy,I felt happy at the settlement of our marriage     
anger,One day my elder brother badly scolded my father.  This was the  first time that I heard such abusive language from my brother.  I  requested him humbly not to use this kind of language but he did  not care for what I was saying.  Finally I picked up an axe to use  against him     
sadness,My close friend and I applied to TISS for admission last year     
disgust,My classmate at TISS has the habit of biting his nails and ever  since my childhood I have never liked this habit.  This person is  near me in class     
shame,I had this feeling before my graduation and never dared to speak  to my relatives and  friends.  Because of this feeling I would  avoid situations     
guilt,One day my mother forced me to eat more and I refused     
joy,When I was a student at the Institute doing my M.Phil degree     
fear,When I was in my village one of my enemies had written a  non-sense letter to a girl and he told the father of this girl  that I was the culprit.  When I got to know this I was scared as   the girl's father was a worse man.     
anger,When I was doing research a few months ago     
sadness,When I was in Bombay one of my good friends was getting married  and he had not informed me about it     
disgust,I once got a phone call stating \one of your friend is in jail     
shame,"Some time back I had signed a letter which I had not read.  What  had happened is that something had been written against my  friend and this went to the higher authorities.  My friend asked me   -\you also signed ?\""   ""     "
guilt,One of my friends came to know through some other friends that I    had applied for some course in an institute.  He asked me \why  did not you tell me    
joy,[ I am joyfull to be alive every night.]     
fear,[ I have not felt this emotion yet.]     
anger,[ On discovering the red-tapism and the bureaucratic     
sadness,The death of Jaya Prakash Narayan caused a great deal of sadness  as I believed that he was the only true democrat and a ray of  hope on the Indian horizon.     
disgust,[ This is an everyday feeling.  Many situational events : causes  are unclean and dirty environment     
shame,When I realized that I belonged to a country which is amongst the  poorest in the world and that inspite of having the resources we  do not utilize them.  I was ashamed at myself and my country     
guilt,When I realized that I was not working hard enough and was not  being useful as an individual to the society or the family     
joy,My joy knew no bounds when I was selected for a job even before  having finished my studies.     
fear,I was scared when I realized that I might miss the train which I  was supposed to take.  I was 1500 Kilometres away from home and when   I heard the depart whistle I was still 150 feet away from the  train.  I finally made it.     
anger,I felt angry when repeated pleas to the ticket collector and the  co-passengers in order to make a queue fell on deaf ears.  I have  this feeling whenever someone is not disciplined and methodic in  doing his duty.     
sadness,I am filled with gloom and sadness at the death of a person.   More specifically     
disgust,I feel disgusted since I am unable to cope with all the wordly  affairs as I spend much precious time to pursue my hobby and  to be admist the people I love and long to be with.     
shame,I always feel ashamed when I do not succeed in accomplishing  something in which I had put in all my efforts.     
guilt,At times I have been attracted to conducts which are socially  degraded due to their ill consequences     
joy,When India first won the world cup cricket tournament.     
fear,I was then in the 10th standard and was going to my native place.   The last bus had already left and so I started walking     
anger,I was travelling from Delhi to Bombay.  I had booked a seat one  month back and I had also got a telegram confirming this.   However     
sadness,The news of the natural calamity     
disgust,In Punjab     
joy,I felt happy at the end of a 10 day student camp.  We had shared  our hopes and aspirations and in the open situation so generated     
fear,One of my fellow students had bunked field work and in my attempt  to cover up for him I myself was exposed     
anger,I had made an error in planning a programme and had publicly  accepted the mistake     
sadness,I was in love with a girl but had to separate from her because of  different commitments concerning life and career.  I loved her as  a person but could not agree with the life the future would  demand.  Parting from her was very sad.     
disgust,Students on campus were unnecessarily creating trouble just to  heckle the authorities - not to achieve something concrete     
shame,I had reacted angrily at a friend for no fault of his.  I had  raised my voice and had not cared for his opinion.     
guilt,I had promised to send something to a friend and it completely  slipped my mind.  I felt guilty for having forgotten.     
joy,This is one feeling I never betray     
fear,A few weeks back I had a very important seminar and I had  circulated my papers to all the panel members.  A day before the  seminar I realized that I had inadvertantly burdened certain        derivations and I had failed to correct it.  I feared that this     would reflect very badly on my performance.  Fortunately none of   the panel members detected it and I felt relieved.     
anger,A few days back a friend of mine poked me in the ribs for fun's  sake     
sadness,The saddest moment in my life was when I lost my younger sister a  few years back.     
shame,Yesterday while playing volley ball     
guilt,A few days back a friend of mine had asked me to call on him on  Sunday.  I had accepted it but later did not go for no specific    reason.  I just slept in my room.  The next day this friend called   me up and told me that he had been expecting me the day before and  his wife had prepared a very good lunch for me     
joy,When I got my B.Sc degree with first class.     
fear,Before the declaration of the S.S.C results.     
anger,When I was punished in school for no serious mistake of mine.     
sadness,When I received the S.Y.J.C results     
disgust,When I could not attend the college picnic due to some  difficulties.     
shame,When I was detained one day in school     
guilt,One day at school I had quarrelled with a school-mate     
joy,This happened when I was in the 10th standard.  The paddy crops  were in a bad shape as it had not rained and there was no water  in the well     
fear,At the age of 16 I had gone to see a film in a nearby village     
anger,One day my room-mate started imitating me     
sadness,A few months a close relative of mine died.  I had never expected  this to happen and was sad for a few months.     
shame,A few months back I had gone to my friend's place and they offered  me tea and coffee.  I do not have the habit of drinking tea or  coffee and so they offered me a glass of milk instead     
guilt,At my native place I was riding my cycle     
joy,After my graduation exams I was waiting to get admitted to a post  graduation course     
fear,[ Never experienced.]     
anger,This was the worst incident of my hostel life.  I was insulted by  a close friend of mine on the eve of the New year and it totally  spoiled my New year's night.     
sadness,[ When I feel that I have made a mistake.]     
joy,When I got my B.A degree with first class.     
fear,I received a letter from my college telling me that I would not  be allowed to sit for the exams because of my low attendance in  class and the bad experience in the terminal exams.     
anger,Once a friend had pushed me and I had fallen on to a window which  then broke.  I was taken to tthe principal's office and he  accused me of having broken the window.     
sadness,When I received my S.Y.J.C results which did not allow me to get    admission in engineering.     
disgust,Once when I was studying for my examination     
shame,My teacher asked me a question which I failed to answer and I was  told to stay behind after the class and give the answer after  studying it from a book.     
guilt,During class one day I walked out of the class.  The  teacher noticed it and decided that he would take some action  against me     
joy,When I passed the 12th standard board exams.     
fear,My illness a few years back.  I was sevely down with malaria and  asthma     
anger,During the short period of my unemployment about six years back.     
sadness,My father's death in January 1983 moved me deeply.  The gloom  prevailed for almost two years and I am still to recover from it.     
shame,When I was 12 years old I was caught by the Ticket Collector when  travelling without a ticket.     
guilt,A few lies that I had indulged in     
joy,After having finished my B.Sc     
fear,When I did not get admission in M.Sc after my B.Sc     
anger,When I was dancing with a dame at a social     
sadness,When a close friend     
disgust,After my +2     
shame,When I was in the 12th standard     
guilt,When I got low marks in the final year B.Sc exams     
joy,I was doing an experiment and was not getting the appropriate  result despite the fact that I had repeated the procedure 4-5  times.  Then finally I got it right by a stroke of luck.     
fear,Once I was very frightened at night as I had a very fearful and  terrifying dream     
anger,Once I had an argument with my friends and I knew that I was  right.  My friends went on arguing with me even though they did  not know the right thing.     
disgust,My elder sister forced me to do a few things which I did not like  to do.     
shame,Once I had torn a few pages off a library book and I felt ashamed  at this.     
joy,When I realized that I loved someone of the opposite sex.     
fear,After I was thrown out of a car in an accident     
anger,[ During my childhood when I could not get what I wanted from my  brother/sister and parents.]     
disgust,I felt disgusted when I was in a helpless position at the loss of  my fiancee.     
shame,The day my fiancee told me that it was bad that I could not write  my mother tongue.     
guilt,I felt guilty when I thought that I was still not standing on my  own feet.     
joy,The way this particular girl spoke     
fear,[ Never.]     
anger,[ Ther are many instances which are all equally irritating.]     
sadness,When a girl did not answer a question     
disgust,[ There have been very few instances of disgust     
shame,[ I was not     
guilt,[ Never felt guilty     
joy,I most joyous moment was the day I got my marks.  I was very  happy when I came to know about my marks at the M.Sc (part I)  examination where I got 71.5%.  This was the highest marks I have  ever scored in my life.     
guilt,I was travelling in a bus from school going home for holiday. In  the bus unfortunately I stepped on a bag in which there were  delicate things.     
joy,When my brother was selected to the University of Malawi (the  Polythecnic). I was very excited and I rejoiced due to one of our  family members qualifying for University level at long last.     
fear,On May 20th I got a summon to appear in court on May 28th 1985 on  the subject of impregnanting a school girl. I really feared of  standing in the court in a few days time after this notice. I was  also embarassed due to formal approach that was expected of me to  the Principal.     
anger,Sometime ago I felt very angry when my mother wrote me telling me  that my elder sister was messing up things at home by her  internalised aggressive attitude towards parents and her husband.     
sadness,I felt very sad when I was in Form three to notice that my friend  Barley Jumbe     
disgust,Four weeks ago I felt very much touched to find an asciatic  patient who had asked the very morning to be tapped of the fluid     
shame,Truely     
guilt,Guilt conscious struck me when I failed my Standard Two  Examinations in 1972. I knew that I would suffer the consequences  of what I had been doing during class hours: thus playing with  friends and sometimes not even going to school.     
joy,After sitting for the Standard 8 Exams for the second time in  1979     
fear,I had a cousin whom I loved so much. Unfortunately she passed  away suddenly and one time I had a dream in which I was talking  to her yet she is dead.     
anger,Somebody wanted to beat my brother at a wedding ceremony and I  was trying to protect my brother but the other man was calling  names to both of us.     
sadness,I never failed my examinations since Standard 1 but I experienced  sad moments when I sat for Standard 8 Examination and I was not  selected for Secondary School education in 1978.     
disgust,I had experienced odd moments one time when a patient came into  the Ward in which I was working. The patient was badly burnt in  the right side of her body. I was very nervous at the sight.     
shame,When I was young I was playing football near my parent's house  and while playing I fell on the ground. At first I thought I was  not seen by anybody     
guilt,I had been on friendship with a certain girl for sometime and the  love was going on well     
joy,I was emotionally happy when I was in love with the girl I had  longed for.     
fear,I once felt that my last hour had come when I was unexpectedly found  in the hands of.     
anger,It happened that my brother promised to give me money for school  and then he told me that he had failed to fulfil his promise a  day before school started. I became so angry for I thought my  future would be ruined.     
sadness,I was all of the sudden sad when I heard that my cousin who  usually paid school fees had passed away after a very short  illness.     
disgust,The first day I visited the hospital I was disgusted because I  experienced offensive smell which I never expected. I nearly ran  away from the course.     
shame,I once felt shame when I failed to fulfil the promise to marry a  daughter of a certain gentleman.     
guilt,I felt guilty when I was robbed of a friend's radio at Lilongwe  bus depot after promising that I would keep it safe.     
fear,When I heard a rumour that the 1st year exam results were out. I  had fear that I might be one of the failures.     
anger,Somebody was blaming me of a story which was not real and not  true.     
sadness,Death of my grnadfather after having been in hospital for so long  with cancer of the Oesophagus.     
disgust,When mum had beaten my young sister just because she had received  a letter from a boyfriend.     
shame,When I had not done well in Geography at my MCE I was expected to  get more than I did.     
guilt,When a patient had died soon after I had told the guardian to  wait outside the ward.     
joy,When I passed my Primary school leaving certificate and selected  to go to a Boarding secondary school.     
fear,When I was feeding a premature baby (7 months)     
anger,We were just about to go into the Exam room and I didn't see all  my writing materials plus the identification card from the place  where I left them.     
sadness,When my boyfriend did not turn up in time as he promised he would  be coming.     
disgust,The time when I cleaned the house and everything was tidy     
disgust,Bad temper of the serving lady in the students' dining hall.     
shame,Teacher suspected me stealing money.     
guilt,Failed to do what I had promised.     
joy,Saw on TV China winning the gold medals.     
fear,Staying in the room alone at night.     
anger,An old lady slipped and nobody helped her.     
sadness,A friend's mother died.     
disgust,Saw a dirty street.     
shame,Not collecting homeworks in time to give the teacher.     
guilt,Not helping other people to do their homework.     
joy,Made a wonderfull new friend.     
fear,My friend started to misunderstand and hurt me.      
anger,Insulted by disgusting people.     
sadness,My friend was badly hurt.     
disgust,Someone not responding to my criticism.     
shame,Swearing in public.     
guilt,Hurt someone's feelings unintentionally.     
joy,When you told everyone in the last lecture you will do all  lectures again in English and everybody can come (not only  English classes)     
fear,Before an examn.     
anger,My class leader told me I am not chosen for your English  lectures.     
sadness,Finding out that the university will give first priority to  qualified practioners and clinical years to go to your English  lectures.     
disgust,Finding out that old and useless practitioners of retirement age  will go to your English lectures and they do not understand  English.     
shame,China cannot give your lectures bigger place and sound system.     
guilt,I am not good enough for your experiment I am doing.     
joy,Winning a game after a long time of losing.     
fear,Almost had a bicycle accident.     
anger,People not cueing in the dining hall.     
sadness,Failed an examn.     
disgust,Saw a real party leader.     
shame,Failed to recagnize a friend on the street.     
guilt,Forgot to collect post for a friend.     
joy,Being chosen to do your experiment with aphasia.     
fear,You may find out that I am stupid and not to let me do your  experiment.     
anger,A classmate told me I must have bribed the class leader to let me  go to your English lecture.     
sadness,I was not chosen for the All English class.     
disgust,Saw my class leader acting like a God when he chose people to go  to your English lectures.     
shame,Talking to friends about how old you are and we cannot be as  successful as you at your age.     
guilt,Telling friends about your nickname.     
joy,I got better marks in the examn than many arrogant people.     
fear,Before the examn.     
anger,Insulted by some stupid people.     
sadness,Lost a friend.     
disgust,Hear people talking at my back.     
shame,Saw something stupid and ignorant happening in the countryside.     
fear,I was very scared when I went to the examination hall for my M.Sc  examination as I had studied a limited partion of the course  thoroughly and I was in great doubt whether that would be asked.     
anger,I was most angry when India lost the Triangular Cricket trophy  held in Australia.  I was so angry that I fought (orally) with my  friend.     
sadness,I was very sad  when I got the XIIth standard results     
disgust,I was disgusted at myself when I dropped a vital catch     
shame,There is one thing which makes me feel shameful     
guilt,I felt guilty when I read an advertisement for a job as a chemist  in the newspaper and when my friend asked me if I had applied for  that job     
joy,When I got my first unknown compound while doing my M.Sc  research     
fear,I was very scared at the time of the Ty.B.Sc examination as I had  decided to get 1st class results.  I was afraid thinking of how  the papers would be.     
anger,When my neighbours accused my brother of stealing their  rose-bush     
sadness,When I heard that my girlfriend was getting married to another  person     
shame,When I had insulted my father two years back     
guilt,I felt very guilty when I tried to teach swimming to my younger  brother     
joy,This happened a year when I was having a hard time     
fear,It was the time when I was in no position to secure a Ist class  in the M.Sc exam and this was likely to affect my career.     
anger,I missed an opportunity to go abroad because of some silly  mistakes for which I had to suffer a lot.     
sadness,It was at the time of my M.Sc exam     
disgust,When I opted for my research field     
shame,When I was not in a position to control myself.  I had said too  much and had been cruel with no other than my mother.     
guilt,Two days after the above incident     
joy,When I got the first compound through column.     
fear,When I did not get the compound which is known.     
anger,When I got low marks in B.Sc final.     
sadness,When my first love was not successful.     
disgust,[ When mix was coming from column for several days.]     
shame,When I had been angry at my friend without any reason.     
guilt,When I forced a close friend of mine to ask a girl things about  herself.     
joy,It was about a fortnight ago     
fear,When I was a kid     
anger,This also happened when I was very small.  I was beaten up by my   mother for no fault of mine     
sadness,After studying a lot for my H.S.C exams     
disgust,[ Honestly     
shame,[ Sorry     
guilt,[ I can positively say that I have never done anything that made  me feel guilty.]     
joy,When I got admission in M.Sc (I) Organic Chemistry     
fear,When I came to know that my exams were on two successive days and  that there was very little time (about 9-10 hours) to study in  between.     
anger,I was very angry when my friend lost my practical's journal     
sadness,I was very sad when I did not get admission in the English  college     
disgust,I was disgusted when our cricket team manager dropped me from the  team.     
shame,I was ashamed at myself when I saw that the other boys and girls    of my age earn a lot of money by doing very good and hard work.      
guilt,I felt very guilty when a student     
joy,When I passed the TOEFEL with very good marks.     
fear,When I was going to take the practical exams.     
anger,When I was teased by my friend for not scoring good marks in the  exams.     
sadness,When I was ditched by my girlfriend.     
disgust,When I lost the notes of the lecturer I had borrowed from my  friend.     
shame,When I was teasing a girl     
guilt,When I was bluffing in front of my mother to get more money.     
joy,The moment I got the news that I had been selected for the U.G.C  junior national research fellowship.  It was a dream come true.     
fear,My brother lost his temper and started smashing things in the  house.  I was quite scared     
anger,I wanted to go to Bhopal for relief work (gas tragedy).  My boss  simply refused to let me go     
sadness,A friend of mine was hospitalized after having been diagnosed as  having typhoid     
disgust,There was a family fight in my house some time back.  My uncle  had given me a watch as a present and I lost it.  During the  fight he accused me of having sold the watch.  I was disgusted at  his false accusations.     
shame,"I had written a \love-letter\"" to a class-mate of mine     "
guilt,My friend had written a letter to me     
joy,I have a girlfriend     
fear,While I was pushing a court roller out of a ditch     
anger,I was the compere at a party and all my efforts to get the show  rolling were thwarted by the immobile     
disgust,A railways officer     
shame,[ I am quite shameless     
guilt,[ Not applicable.]     
joy,When I was successful at my work I was full of joy.     
fear,When I was treated improperly by someone.     
anger,[ When bad and disgusting language is uttered by people     
sadness,[ I missed my twin when I was on the verge of being thrown     
disgust,When Kanishka was blown up     
joy,When I received the best actor award at the inter-college drama  competition.  It gave me tremendous joy and satisfaction which  lasted for several days.     
fear,When my mother met with a serious accident and there was danger  that she would not survive and if she did she would loose  her memory.     
anger,When an acquaintance of mine beat up another person for no just  reason     
sadness,When a friend of mine died in a hiking accident.  I was not  present there and only got the news later.     
disgust,[ Do not remember any incident.]     
joy,I felt this emotion when my name was announced on the radio that  I had been selected to come to Lilongwe School for Health  Sciences to take a training course as a Medical Assistat.     
fear,I felt the above condition when I took my brother's bicycle to a  market and unfortunately the bicycle was stolen and I didn't know  how I could tell the owner about the stolen bicycle.     
anger,I felt angry when my only pair of trousers was stolen and could  not be able to find out who the thief was or anyone who knew  about the story.     
sadness,I felt sad when my dear friend was needed from training school  due to his failure in a number of subjects and simply didn't know  what he had to do.     
disgust,I felt the emotion when I entered a certain ward in the hospital  to visit my relative who was sick.     
shame,I felt the above condition when I was found in a house playing  with another man's wife where I was asked questions and I was  unable to answer.     
guilt,I felt the emotion when I fought somebody who was drunk and tried  to disturb us while we were having meals.     
joy,When I was at school     
fear,I was living with my brother and one day he went away on business  and I was left alone to look after the house and the property. At  night thieves came and wanted to break into the house.     
anger,My young brother took my wristwatch in my abscence and sold it to  his friend at a cheaper price.     
sadness,I had a girlfriend who lived several kilometers away from my  home. One day she wrote me that she'd visit me. On her way she  had a car accident and was badly injured. I was very sorry to see  her lying in a bed in the hospital.     
disgust,One of my best friends was found lying flat on the road because  he was drunk and was taken by the police and put in a cell. I  went to see him the following morning     
shame,It was my father's birthday party when I was asked to bring a  tray of tea and other drinks.     
guilt,One day I took my playmates to the river to swim and play. One  of them was epileptic so he drowned into the water. I felt guilty  because it was me who took them there.     
joy,When I was accepted to study at this school I was very happy.     
fear,I was moving in the graveyard at 6.00 pm one day and was griped  by fear because I was told that ghosts detain people moving there  at night.     
anger,There is a mad boy in our village. This boy hit me with a raw  paw-paw in the face.     
sadness,It was last September when I felt very sad. It was when I heard  that I was not selected to study in the University of Malawi.     
disgust,In Ward 1A was an epileptic patient who was burnt the whole body  and was stinking very much such that the whole ward was affected.  Few people could come near him.     
shame,An out-patient asked me to read for him a certain prescription  but I was unable to do so. The patient was dissappointed and lost  hope in me.     
guilt,It is some years ago when my mother found me stealing relish in  the pot. It was fresh fish which was very appetising.     
joy,It was in December last year that I was chosen to come to this  Institution to study as a Medical Assistant.     
fear,In March I was busy studying during the night I could only sleep  two or three hours only for fear that I would be weeded and sent  back.     
anger,I once caught a letter in my girlfriend's handbag from a certain  man. I felt anger.     
sadness,I was once nominated as an Officer Cadet in the Armed Forces and  my name was cancelled on the list of nominees of those who were  sent to Kenya for Training.     
disgust,The time I went to see one of my girlfriends at Area 18 I found  that she was not there but in the room she was sleeping     
shame,It was last week on Sunday that I was walking with my girlfriend  along Kawale road going to town so I tried to stop a car for a  lift and the driver didn't stop and I felt shame because people  were looking at us.     
guilt,I was once called in court in Zemba Traditional court to answer a  charge of impregnanting a young lady     
joy,There was joy in me when I heard that I was to take a course as a  Medical Assistant.     
fear,When I saw a dead body in the mortuary I became afraid and I was  filled with fear.     
anger,A certain Area Party Secretary came home in the morning and said  we had to leave our home and build somewhere and the reason  being that they wanted to establish a market. The Chairman knew  nothing about it and was very angry.     
sadness,I was so sad when I heard that my Uncle had passed away. He was  the only man who was supporting my parents as well as myself.     
disgust,I was disgusted with my girlfriend's behaviour. She was going out  with other boys who were also my friends.     
shame,It was a shameful moment when I heard that I had failed my  Primary School leaving Certificate Exam in 1978. My girlfriend  was there when the news was released.     
guilt,I took Pharmacology books from my friend's desk without  permission and I was found guilty.     
joy,When I was in Form 4     
fear,I broke my Uncle's Radio player accidentally and so I feared that  he was going to cut me off from going to his house as well as  playing it again.     
anger,It was in March 1985 when one of my fellow students borrowed my  wristwatch and after sometime he broke a glass of that watch I  got angry when he was telling me but the anger didn't take long  to fade.     
sadness,When I was about to write my Junior Certificate Exams     
disgust,I was disgusted with the behaviour of one of my fellow students  during my Secondary School life. He was a habitual noise-maker  and caused great conflicts with the teachers.     
shame,I remember when I was in Standard 6     
guilt,Sometime back I came across a certain man who was badly beaten by  some people because he was found raping the wife of the village  headman.     
joy,The joy came to me when I heard that I was going to start a  Medical course at the Lilongwe School for Health Sciences.     
fear,The emotion came when I misbehaved at school and the Principal  threatened me that I was going to be expelled.     
anger,The emotion came when a certain boy opened my locker without my  knowledge.     
sadness,The sadness came to me when I heard that my girlfriend whom I  loved so much got married to another man before a rebuff from  her.     
disgust,The emotion came to me when a certain girl who was not polite to  her mother hit her sister severely.     
shame,The shame came when I was beaten by my teacher at school in front  of boys and girls some of whom were my friends and a girlfriend  apart from being classmates.     
guilt,It was when I discovered that the girl who I had proposed was a  friend's girlfriend.     
joy,When I was told that I was selected to attend Medical Assistant  Training.     
fear,When I was told to attend an operation in theatre.     
anger,This situation happened when my friend John ate my banana which I  kept in the cupboard.     
sadness,When I was told that my father had passed away.     
disgust,This situation occurred when I entered into a smelling ward.     
shame,This situation happened when I was found kissing a girl who was  my friend's girlfriend.     
guilt,This situation happened when my friend me with a knife which I  stole from him.     
joy,When my father married a certain lady. The reception was held at  Kasungu town Hall.     
fear,At night when I was coming from Lingadzi Inn I heard a hyena  crying in the Lingadzi jungle. I was alone.     
anger,I felt angry when I was told that I had not been selected to go  to the University.     
sadness,I felt sad when I was told to walk out of the classroom because I  was within the row of students who were making noise.     
disgust,I felt disgusted when a certain lady spoke words of sarcasm when  I was trying to propose to her.     
shame,When I broke a tea saucer. I felt ashamed. This was during the  birthday of my girlfriend.     
guilt,I felt guilty when I was given a prize which belonged to someone  else.     
joy,My girlfriend who had been very far away from me came to my  place. She saw me and ran after me. I didn't know that she had  come. I couldn't see her. She held my shoulders standing behind  me.     
fear,I was given a wristwatch by my first girl and after two days  another girl of mine also gave me a wristwatch.     
anger,My girlfriend mentioned a certain girl's name who was my girl  some time back and she is no longer mine that she said she was  still mine.     
sadness,I had been caught red-handed having stolen some paw-paw. I was  then taken the elders owning the paw-paws.     
disgust,I was double crossing Mercy and Maria. They one day came to know  each other. I was found by Mercy red-haded when I was with Maria.     
shame,I had a girlfriend in the same class I was. I did not do well in  my Exams     
guilt,Our Headmaster came to our hostel. The lights were off but there  was a lot of noise. We shouted at him when he knocked at our  door. We later saw that it was the Headmaster.     
joy,This happened when I was selected to go to Secondary school to  start Form I in October 1980.     
fear,As I was taking venous blood from another patient I introduced  air into the place of puncturing and there was a swelling which  is dangerous to the patient hence I became afraid.     
anger,My lovely girlfriend double-crossed me and so that I found her  chatting with another guy.     
sadness,I really became sad when mother passed away while I was very  young.     
disgust,I was disgusted when my brother was arrested because of stealing  money.     
shame,I was ashamed when my classmates discovered that I fell in love  with an uneducated girl.     
